"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"166",334,135,"expletive_test",99,7,"test","pos","pej","TO","A","IPP7","Italian","L2"
"167",336,135,"expletive_test",21,6,"test","neg","adj","NEU","A","IAN6","Italian","L2"
"168",337,135,"expletive_test",71,9,"test","pos","adj","NEU","A","IAP9","Italian","L2"
"169",338,135,"expletive_test",78,4,"test","neg","adj","TO","A","IAN4","Italian","L2"
"170",342,135,"expletive_test",29,7,"test","neg","pej","TO","A","IPN7","Italian","L2"
"171",345,135,"expletive_test",68,1,"test","pos","pej","TO","A","IPP1","Italian","L2"
"172",346,135,"expletive_test",62,7,"test","pos","adj","TO","A","IAP7","Italian","L2"
"173",350,135,"expletive_test",71,3,"test","pos","adj","NEU","A","IAP3","Italian","L2"
"174",351,135,"expletive_test",39,7,"test","neg","adj","TO","A","IAN7","Italian","L2"
"175",352,135,"expletive_test",8,3,"test","neg","pej","NEU","A","IPN3","Italian","L2"
"176",353,135,"expletive_test",82,6,"test","pos","pej","NEU","A","IPP6","Italian","L2"
"177",354,135,"expletive_test",82,4,"test","pos","pej","TO","A","IPP4","Italian","L2"
"178",357,135,"expletive_test",0,2,"test","neg","adj","AO","A","IAN2","Italian","L2"
"179",359,135,"expletive_test",22,5,"test","neg","adj","AO","A","IAN5","Italian","L2"
"180",360,135,"expletive_test",15,8,"test","neg","adj","AO","A","IAN8","Italian","L2"
"181",421,46,"expletive_test",54,7,"test","neg","pej","TO","C","IPN7","Italian","L2"
"182",422,46,"expletive_test",60,4,"test","neg","pej","TO","C","IPN4","Italian","L2"
"183",425,46,"expletive_test",52,6,"test","pos","adj","NEU","C","IAP6","Italian","L2"
"184",426,46,"expletive_test",45,4,"test","pos","adj","TO","C","IAP4","Italian","L2"
"185",427,46,"expletive_test",65,9,"test","pos","adj","NEU","C","IAP9","Italian","L2"
"186",428,46,"expletive_test",62,2,"test","pos","adj","AO","C","IAP2","Italian","L2"
"187",429,46,"expletive_test",58,7,"test","neg","adj","TO","C","IAN7","Italian","L2"
"188",431,46,"expletive_test",36,2,"test","neg","adj","AO","C","IAN2","Italian","L2"
"189",432,46,"expletive_test",67,9,"test","pos","pej","NEU","C","IPP9","Italian","L2"
"190",434,46,"expletive_test",25,3,"test","neg","adj","NEU","C","IAN3","Italian","L2"
"191",435,46,"expletive_test",76,8,"test","pos","pej","AO","C","IPP8","Italian","L2"
"192",436,46,"expletive_test",20,2,"test","neg","pej","AO","C","IPN2","Italian","L2"
"193",438,46,"expletive_test",81,4,"test","pos","pej","TO","C","IPP4","Italian","L2"
"194",440,46,"expletive_test",74,7,"test","pos","pej","TO","C","IPP7","Italian","L2"
"195",443,46,"expletive_test",19,8,"test","neg","pej","AO","C","IPN8","Italian","L2"
"196",444,46,"expletive_test",61,6,"test","pos","pej","NEU","C","IPP6","Italian","L2"
"197",445,46,"expletive_test",57,1,"test","neg","adj","TO","C","IAN1","Italian","L2"
"198",447,46,"expletive_test",76,4,"test","neg","adj","TO","C","IAN4","Italian","L2"
"199",450,46,"expletive_test",23,5,"test","neg","adj","AO","C","IAN5","Italian","L2"
"200",451,46,"expletive_test",61,3,"test","pos","pej","NEU","C","IPP3","Italian","L2"
"201",453,46,"expletive_test",31,8,"test","neg","adj","AO","C","IAN8","Italian","L2"
"202",454,46,"expletive_test",66,5,"test","pos","adj","AO","C","IAP5","Italian","L2"
"203",458,46,"expletive_test",26,6,"test","neg","adj","NEU","C","IAN6","Italian","L2"
"204",462,46,"expletive_test",82,1,"test","pos","pej","TO","C","IPP1","Italian","L2"
"205",465,46,"expletive_test",17,6,"test","neg","pej","NEU","C","IPN6","Italian","L2"
"206",466,46,"expletive_test",86,1,"test","pos","adj","TO","C","IAP1","Italian","L2"
"207",467,46,"expletive_test",54,3,"test","pos","adj","NEU","C","IAP3","Italian","L2"
"208",469,46,"expletive_test",55,8,"test","pos","adj","AO","C","IAP8","Italian","L2"
"209",471,46,"expletive_test",61,5,"test","pos","pej","AO","C","IPP5","Italian","L2"
"210",472,46,"expletive_test",74,7,"test","pos","adj","TO","C","IAP7","Italian","L2"
"211",473,46,"expletive_test",13,3,"test","neg","pej","NEU","C","IPN3","Italian","L2"
"212",474,46,"expletive_test",15,9,"test","neg","adj","NEU","C","IAN9","Italian","L2"
"213",476,46,"expletive_test",82,1,"test","neg","pej","TO","C","IPN1","Italian","L2"
"214",477,46,"expletive_test",16,5,"test","neg","pej","AO","C","IPN5","Italian","L2"
"215",478,46,"expletive_test",61,2,"test","pos","pej","AO","C","IPP2","Italian","L2"
"216",479,46,"expletive_test",10,9,"test","neg","pej","NEU","C","IPN9","Italian","L2"
"217",481,126,"expletive_test",92,6,"test","pos","pej","NEU","C","IPP6","Italian","L2"
"218",482,126,"expletive_test",99,3,"test","pos","adj","NEU","C","IAP3","Italian","L2"
"219",483,126,"expletive_test",99,1,"test","neg","pej","TO","C","IPN1","Italian","L2"
"220",484,126,"expletive_test",99,2,"test","pos","adj","AO","C","IAP2","Italian","L2"
"221",486,126,"expletive_test",99,4,"test","pos","pej","TO","C","IPP4","Italian","L2"
"222",488,126,"expletive_test",99,1,"test","neg","adj","TO","C","IAN1","Italian","L2"
"223",489,126,"expletive_test",59,2,"test","neg","adj","AO","C","IAN2","Italian","L2"
"224",492,126,"expletive_test",99,3,"test","pos","pej","NEU","C","IPP3","Italian","L2"
"225",496,126,"expletive_test",99,8,"test","neg","pej","AO","C","IPN8","Italian","L2"
"226",497,126,"expletive_test",99,5,"test","neg","pej","AO","C","IPN5","Italian","L2"
"227",501,126,"expletive_test",99,5,"test","pos","adj","AO","C","IAP5","Italian","L2"
"228",502,126,"expletive_test",99,7,"test","pos","adj","TO","C","IAP7","Italian","L2"
"229",503,126,"expletive_test",99,9,"test","pos","pej","NEU","C","IPP9","Italian","L2"
"230",505,126,"expletive_test",99,8,"test","pos","pej","AO","C","IPP8","Italian","L2"
"231",506,126,"expletive_test",99,6,"test","pos","adj","NEU","C","IAP6","Italian","L2"
"232",510,126,"expletive_test",73,6,"test","neg","pej","NEU","C","IPN6","Italian","L2"
"233",512,126,"expletive_test",99,2,"test","pos","pej","AO","C","IPP2","Italian","L2"
"234",513,126,"expletive_test",71,2,"test","neg","pej","AO","C","IPN2","Italian","L2"
"235",514,126,"expletive_test",74,3,"test","neg","pej","NEU","C","IPN3","Italian","L2"
"236",515,126,"expletive_test",99,4,"test","neg","adj","TO","C","IAN4","Italian","L2"
"237",516,126,"expletive_test",29,5,"test","neg","adj","AO","C","IAN5","Italian","L2"
"238",519,126,"expletive_test",99,7,"test","pos","pej","TO","C","IPP7","Italian","L2"
"239",520,126,"expletive_test",31,6,"test","neg","adj","NEU","C","IAN6","Italian","L2"
"240",522,126,"expletive_test",73,8,"test","pos","adj","AO","C","IAP8","Italian","L2"
"241",525,126,"expletive_test",69,9,"test","neg","adj","NEU","C","IAN9","Italian","L2"
"242",526,126,"expletive_test",99,5,"test","pos","pej","AO","C","IPP5","Italian","L2"
"243",527,126,"expletive_test",99,1,"test","pos","adj","TO","C","IAP1","Italian","L2"
"244",529,126,"expletive_test",42,3,"test","neg","adj","NEU","C","IAN3","Italian","L2"
"245",530,126,"expletive_test",99,7,"test","neg","pej","TO","C","IPN7","Italian","L2"
"246",531,126,"expletive_test",88,7,"test","neg","adj","TO","C","IAN7","Italian","L2"
"247",533,126,"expletive_test",43,8,"test","neg","adj","AO","C","IAN8","Italian","L2"
"248",534,126,"expletive_test",99,1,"test","pos","pej","TO","C","IPP1","Italian","L2"
"249",535,126,"expletive_test",99,9,"test","pos","adj","NEU","C","IAP9","Italian","L2"
"250",537,126,"expletive_test",49,4,"test","pos","adj","TO","C","IAP4","Italian","L2"
"251",538,126,"expletive_test",40,9,"test","neg","pej","NEU","C","IPN9","Italian","L2"
"252",539,126,"expletive_test",99,4,"test","neg","pej","TO","C","IPN4","Italian","L2"
"253",541,190,"expletive_test",0,2,"test","neg","pej","AO","C","IPN2","Italian","L2"
"254",542,190,"expletive_test",25,5,"test","neg","adj","AO","C","IAN5","Italian","L2"
"255",543,190,"expletive_test",0,9,"test","neg","pej","NEU","C","IPN9","Italian","L2"
"256",544,190,"expletive_test",0,6,"test","neg","pej","NEU","C","IPN6","Italian","L2"
"257",545,190,"expletive_test",0,5,"test","pos","pej","AO","C","IPP5","Italian","L2"
"258",546,190,"expletive_test",72,4,"test","neg","adj","TO","C","IAN4","Italian","L2"
"259",548,190,"expletive_test",0,2,"test","pos","pej","AO","C","IPP2","Italian","L2"
"260",549,190,"expletive_test",0,4,"test","neg","pej","TO","C","IPN4","Italian","L2"
"261",550,190,"expletive_test",0,7,"test","neg","pej","TO","C","IPN7","Italian","L2"
"262",552,190,"expletive_test",78,2,"test","pos","adj","AO","C","IAP2","Italian","L2"
"263",553,190,"expletive_test",0,8,"test","pos","pej","AO","C","IPP8","Italian","L2"
"264",554,190,"expletive_test",29,7,"test","pos","adj","TO","C","IAP7","Italian","L2"
"265",555,190,"expletive_test",82,5,"test","pos","adj","AO","C","IAP5","Italian","L2"
"266",558,190,"expletive_test",0,5,"test","neg","pej","AO","C","IPN5","Italian","L2"
"267",559,190,"expletive_test",58,6,"test","neg","adj","NEU","C","IAN6","Italian","L2"
"268",561,190,"expletive_test",0,3,"test","neg","pej","NEU","C","IPN3","Italian","L2"
"269",562,190,"expletive_test",62,4,"test","pos","adj","TO","C","IAP4","Italian","L2"
"270",566,190,"expletive_test",0,2,"test","neg","adj","AO","C","IAN2","Italian","L2"
"271",567,190,"expletive_test",77,1,"test","pos","adj","TO","C","IAP1","Italian","L2"
"272",569,190,"expletive_test",0,3,"test","pos","pej","NEU","C","IPP3","Italian","L2"
"273",570,190,"expletive_test",41,7,"test","pos","pej","TO","C","IPP7","Italian","L2"
"274",572,190,"expletive_test",77,3,"test","pos","adj","NEU","C","IAP3","Italian","L2"
"275",574,190,"expletive_test",27,1,"test","pos","pej","TO","C","IPP1","Italian","L2"
"276",575,190,"expletive_test",0,8,"test","neg","pej","AO","C","IPN8","Italian","L2"
"277",576,190,"expletive_test",52,1,"test","neg","adj","TO","C","IAN1","Italian","L2"
"278",577,190,"expletive_test",40,9,"test","pos","adj","NEU","C","IAP9","Italian","L2"
"279",580,190,"expletive_test",65,6,"test","pos","adj","NEU","C","IAP6","Italian","L2"
"280",583,190,"expletive_test",29,8,"test","pos","adj","AO","C","IAP8","Italian","L2"
"281",585,190,"expletive_test",0,1,"test","neg","pej","TO","C","IPN1","Italian","L2"
"282",586,190,"expletive_test",66,6,"test","pos","pej","NEU","C","IPP6","Italian","L2"
"283",591,190,"expletive_test",61,4,"test","pos","pej","TO","C","IPP4","Italian","L2"
"284",593,190,"expletive_test",56,7,"test","neg","adj","TO","C","IAN7","Italian","L2"
"285",595,190,"expletive_test",54,3,"test","neg","adj","NEU","C","IAN3","Italian","L2"
"286",597,190,"expletive_test",61,9,"test","pos","pej","NEU","C","IPP9","Italian","L2"
"287",598,190,"expletive_test",42,9,"test","neg","adj","NEU","C","IAN9","Italian","L2"
"288",599,190,"expletive_test",43,8,"test","neg","adj","AO","C","IAN8","Italian","L2"
"289",604,38,"expletive_test",14,6,"test","pos","adj","AO","C","IAP6","Italian","L2"
"290",606,38,"expletive_test",87,6,"test","pos","pej","AO","C","IPP6","Italian","L2"
"291",608,38,"expletive_test",23,9,"test","neg","pej","AO","C","IPN9","Italian","L2"
"292",609,38,"expletive_test",0,2,"test","neg","pej","TO","C","IPN2","Italian","L2"
"293",610,38,"expletive_test",26,3,"test","pos","adj","AO","C","IAP3","Italian","L2"
"294",611,38,"expletive_test",86,5,"test","pos","pej","TO","C","IPP5","Italian","L2"
"295",613,38,"expletive_test",24,2,"test","pos","adj","TO","C","IAP2","Italian","L2"
"296",616,38,"expletive_test",38,4,"test","pos","adj","NEU","C","IAP4","Italian","L2"
"297",618,38,"expletive_test",36,1,"test","neg","adj","NEU","C","IAN1","Italian","L2"
"298",622,38,"expletive_test",56,7,"test","pos","adj","NEU","C","IAP7","Italian","L2"
"299",625,38,"expletive_test",42,4,"test","neg","adj","NEU","C","IAN4","Italian","L2"
"300",626,38,"expletive_test",92,9,"test","pos","pej","AO","C","IPP9","Italian","L2"
"301",627,38,"expletive_test",89,5,"test","pos","adj","TO","C","IAP5","Italian","L2"
"302",629,38,"expletive_test",94,1,"test","pos","pej","NEU","C","IPP1","Italian","L2"
"303",631,38,"expletive_test",91,7,"test","pos","pej","NEU","C","IPP7","Italian","L2"
"304",633,38,"expletive_test",61,6,"test","neg","adj","AO","C","IAN6","Italian","L2"
