"","X","Participant","Label","SliderResponse","Number","TrialType","Valence","LexicalType","ContextCondition","Group","Name","StudyLanguage","Nativeness"
"86",86,130,"expletive_test",66,19,"filler","pos","adj","AO","C","INF19","Italian","L1"
"87",87,130,"expletive_test",93,5,"filler","neg","adj","TO","C","INF5","Italian","L1"
"88",88,130,"expletive_test",89,2,"test","pos","adj","AO","C","IAP2","Italian","L1"
"89",89,130,"expletive_test",30,9,"filler","neg","adj","AO","C","INF9","Italian","L1"
"90",90,130,"expletive_test",65,14,"filler","pos","adj","TO","C","INF14","Italian","L1"
"91",91,130,"expletive_test",41,23,"filler","pos","adj","AO","C","INF23","Italian","L1"
"92",92,130,"expletive_test",75,21,"filler","pos","adj","AO","C","INF21","Italian","L1"
"93",93,130,"expletive_test",65,3,"filler","neg","adj","TO","C","INF3","Italian","L1"
"94",94,130,"expletive_test",22,8,"test","neg","pej","AO","C","IPN8","Italian","L1"
"95",95,130,"expletive_test",73,6,"test","pos","pej","NEU","C","IPP6","Italian","L1"
"96",96,130,"expletive_test",73,3,"test","pos","adj","NEU","C","IAP3","Italian","L1"
"97",97,130,"expletive_test",13,9,"test","neg","adj","NEU","C","IAN9","Italian","L1"
"98",98,130,"expletive_test",28,11,"filler","neg","adj","AO","C","INF11","Italian","L1"
"99",99,130,"expletive_test",72,4,"test","pos","pej","TO","C","IPP4","Italian","L1"
"100",100,130,"expletive_test",74,7,"test","neg","adj","TO","C","IAN7","Italian","L1"
"101",101,130,"expletive_test",48,9,"test","pos","pej","NEU","C","IPP9","Italian","L1"
"102",102,130,"expletive_test",38,8,"test","pos","adj","AO","C","IAP8","Italian","L1"
"103",103,130,"expletive_test",24,22,"filler","pos","adj","AO","C","INF22","Italian","L1"
"104",104,130,"expletive_test",81,15,"filler","pos","adj","TO","C","INF15","Italian","L1"
"105",105,130,"expletive_test",88,7,"test","neg","pej","TO","C","IPN7","Italian","L1"
"106",106,130,"expletive_test",90,5,"test","pos","pej","AO","C","IPP5","Italian","L1"
"107",107,130,"expletive_test",76,8,"test","neg","adj","AO","C","IAN8","Italian","L1"
"108",108,130,"expletive_test",94,20,"filler","pos","adj","AO","C","INF20","Italian","L1"
"109",109,130,"expletive_test",60,3,"test","neg","adj","NEU","C","IAN3","Italian","L1"
"110",110,130,"expletive_test",12,6,"test","neg","pej","NEU","C","IPN6","Italian","L1"
"111",111,130,"expletive_test",12,12,"filler","neg","adj","AO","C","INF12","Italian","L1"
"112",112,130,"expletive_test",59,3,"test","pos","pej","NEU","C","IPP3","Italian","L1"
"113",113,130,"expletive_test",4,5,"test","neg","pej","AO","C","IPN5","Italian","L1"
"114",114,130,"expletive_test",64,7,"test","pos","adj","TO","C","IAP7","Italian","L1"
"115",115,130,"expletive_test",39,5,"test","pos","adj","AO","C","IAP5","Italian","L1"
"116",116,130,"expletive_test",16,2,"test","neg","adj","AO","C","IAN2","Italian","L1"
"117",117,130,"expletive_test",93,13,"filler","pos","adj","TO","C","INF13","Italian","L1"
"118",118,130,"expletive_test",78,6,"filler","neg","adj","TO","C","INF6","Italian","L1"
"119",119,130,"expletive_test",26,2,"filler","neg","adj","TO","C","INF2","Italian","L1"
"120",120,130,"expletive_test",13,3,"test","neg","pej","NEU","C","IPN3","Italian","L1"
"121",121,85,"expletive_test",0,23,"filler","pos","adj","AO","A","INF23","Italian","L1"
"122",122,85,"expletive_test",0,22,"filler","pos","adj","AO","A","INF22","Italian","L1"
"123",123,85,"expletive_test",99,2,"test","pos","adj","AO","A","IAP2","Italian","L1"
"124",124,85,"expletive_test",99,9,"filler","neg","adj","AO","A","INF9","Italian","L1"
"125",125,85,"expletive_test",99,2,"test","neg","pej","AO","A","IPN2","Italian","L1"
"126",126,85,"expletive_test",0,6,"filler","neg","adj","TO","A","INF6","Italian","L1"
"127",127,85,"expletive_test",99,7,"test","neg","adj","TO","A","IAN7","Italian","L1"
"128",128,85,"expletive_test",0,9,"test","neg","adj","NEU","A","IAN9","Italian","L1"
"129",129,85,"expletive_test",0,6,"test","neg","pej","NEU","A","IPN6","Italian","L1"
