"","Participant","Word","likert_arousal","likert_valence","StudyLanguage","Nativeness"
"216",125,"elegante","1","6","Italian","L2"
"217",125,"crudele","2","4","Italian","L2"
"218",125,"osceno","2","3","Italian","L2"
"219",125,"stronzo","1","2","Italian","L2"
"220",125,"scortese","1","3","Italian","L2"
"221",125,"santo","1","7","Italian","L2"
"222",125,"inaffidabile","2","3","Italian","L2"
"223",125,"scrupolosa","1","6","Italian","L2"
"224",125,"sleale","1","3","Italian","L2"
"225",125,"paziente","1","8","Italian","L2"
"226",125,"positivo","1","7","Italian","L2"
"227",125,"buono","1","8","Italian","L2"
"228",125,"meschina","1","2","Italian","L2"
"229",125,"pigra","1","3","Italian","L2"
"230",125,"riservata","1","5","Italian","L2"
"231",125,"bugiarda","2","2","Italian","L2"
"232",125,"saggia","1","8","Italian","L2"
"233",125,"tesoro","1","8","Italian","L2"
"234",125,"cauta","1","7","Italian","L2"
"235",185,"riservata","3","4","Italian","L2"
"236",185,"indiscreta","4","3","Italian","L2"
"237",185,"tesoro","2","8","Italian","L2"
"238",185,"santo","1","6","Italian","L2"
"239",185,"meschina","6","3","Italian","L2"
"240",185,"stronzo","6","1","Italian","L2"
"241",185,"bugiarda","4","2","Italian","L2"
"242",185,"scortese","8","2","Italian","L2"
"243",185,"demone","5","1","Italian","L2"
"244",185,"affidabile","2","8","Italian","L2"
"245",185,"pigra","4","5","Italian","L2"
"246",185,"osceno","6","3","Italian","L2"
"247",185,"paziente","4","7","Italian","L2"
"248",185,"leale","2","8","Italian","L2"
"249",185,"elegante","5","5","Italian","L2"
"250",185,"cauta","3","6","Italian","L2"
"251",185,"crudele","6","2","Italian","L2"
"252",185,"saggia","2","6","Italian","L2"
"253",185,"scrupolosa","3","5","Italian","L2"
"254",185,"cattivo","4","1","Italian","L2"
"255",185,"negativo","4","2","Italian","L2"
"256",185,"buono","3","7","Italian","L2"
"257",185,"sleale","7","1","Italian","L2"
"258",185,"inaffidabile","7","2","Italian","L2"
"259",185,"positivo","4","7","Italian","L2"
"260",185,"gentile","2","7","Italian","L2"
"261",71,"scortese","3","6","Italian","L2"
"262",71,"sleale","5","5","Italian","L2"
"263",71,"cattivo","7","1","Italian","L2"
"264",71,"elegante","1","6","Italian","L2"
"265",71,"riservata","1","7","Italian","L2"
"266",71,"santo","1","8","Italian","L2"
"267",71,"saggia","4","6","Italian","L2"
"268",71,"affidabile","5","4","Italian","L2"
"269",71,"paziente","6","6","Italian","L2"
"270",71,"gentile","1","8","Italian","L2"
"271",71,"pigra","1","6","Italian","L2"
"272",71,"positivo","1","8","Italian","L2"
"273",71,"buono","1","5","Italian","L2"
"274",71,"meschina","8","2","Italian","L2"
"275",71,"demone","9","1","Italian","L2"
"276",71,"leale","1","9","Italian","L2"
"277",71,"crudele","7","4","Italian","L2"
"278",71,"inaffidabile","8","4","Italian","L2"
"279",71,"indiscreta","8","2","Italian","L2"
"280",71,"tesoro","1","7","Italian","L2"
"281",71,"cauta","2","7","Italian","L2"
"282",71,"osceno","6","5","Italian","L2"
"283",71,"scrupolosa","5","5","Italian","L2"
"284",71,"bugiarda","6","5","Italian","L2"
"285",71,"negativo","6","5","Italian","L2"
"286",71,"stronzo","9","4","Italian","L2"
"287",136,"tesoro","9","8","Italian","L2"
"288",136,"crudele","5","1","Italian","L2"
"289",136,"negativo","6","2","Italian","L2"
"290",136,"elegante","7","8","Italian","L2"
"291",136,"riservata","3","5","Italian","L2"
"292",136,"gentile","2","7","Italian","L2"
"293",136,"affidabile","3","7","Italian","L2"
"294",136,"meschina","5","2","Italian","L2"
"295",136,"leale","6","7","Italian","L2"
"296",136,"scrupolosa","4","5","Italian","L2"
"297",136,"cattivo","6","1","Italian","L2"
"298",136,"stronzo","6","1","Italian","L2"
"299",136,"osceno","6","1","Italian","L2"
"300",136,"indiscreta","4","4","Italian","L2"
"301",136,"demone","6","4","Italian","L2"
"302",136,"santo","4","6","Italian","L2"
"303",136,"scortese","5","2","Italian","L2"
"304",136,"paziente","2","7","Italian","L2"
"305",136,"positivo","4","8","Italian","L2"
"306",136,"cauta","1","6","Italian","L2"
"307",136,"pigra","4","4","Italian","L2"
"308",136,"bugiarda","5","2","Italian","L2"
"309",136,"sleale","5","2","Italian","L2"
"310",136,"saggia","4","7","Italian","L2"
"311",136,"inaffidabile","5","2","Italian","L2"
"312",136,"buono","7","8","Italian","L2"
"313",3,"elegante","2","7","Italian","L2"
"314",3,"cauta","6","5","Italian","L2"
"315",3,"riservata","3","6","Italian","L2"
"316",3,"demone","6","3","Italian","L2"
"317",3,"paziente","2","7","Italian","L2"
"318",3,"scortese","5","3","Italian","L2"
"319",3,"tesoro","6","6","Italian","L2"
"320",3,"santo","3","5","Italian","L2"
"321",3,"bugiarda","5","3","Italian","L2"
"322",3,"osceno","4","2","Italian","L2"
"323",3,"sleale","3","2","Italian","L2"
"324",3,"pigra","2","5","Italian","L2"
"325",3,"affidabile","3","7","Italian","L2"
"326",3,"leale","2","7","Italian","L2"
