"","Participant","Word","likert_arousal","likert_valence","Language"
"257",185,"sleale","7","1","Italian"
"258",185,"inaffidabile","7","2","Italian"
"259",185,"positivo","4","7","Italian"
"260",185,"gentile","2","7","Italian"
"261",71,"scortese","3","6","Italian"
"262",71,"sleale","5","5","Italian"
"263",71,"cattivo","7","1","Italian"
"264",71,"elegante","1","6","Italian"
"265",71,"riservata","1","7","Italian"
"266",71,"santo","1","8","Italian"
"267",71,"saggia","4","6","Italian"
"268",71,"affidabile","5","4","Italian"
"269",71,"paziente","6","6","Italian"
"270",71,"gentile","1","8","Italian"
"271",71,"pigra","1","6","Italian"
"272",71,"positivo","1","8","Italian"
"273",71,"buono","1","5","Italian"
"274",71,"meschina","8","2","Italian"
"275",71,"demone","9","1","Italian"
"276",71,"leale","1","9","Italian"
"277",71,"crudele","7","4","Italian"
"278",71,"inaffidabile","8","4","Italian"
"279",71,"indiscreta","8","2","Italian"
"280",71,"tesoro","1","7","Italian"
"281",71,"cauta","2","7","Italian"
"282",71,"osceno","6","5","Italian"
"283",71,"scrupolosa","5","5","Italian"
"284",71,"bugiarda","6","5","Italian"
"285",71,"negativo","6","5","Italian"
"286",71,"stronzo","9","4","Italian"
"287",136,"tesoro","9","8","Italian"
"288",136,"crudele","5","1","Italian"
"289",136,"negativo","6","2","Italian"
"290",136,"elegante","7","8","Italian"
"291",136,"riservata","3","5","Italian"
"292",136,"gentile","2","7","Italian"
"293",136,"affidabile","3","7","Italian"
"294",136,"meschina","5","2","Italian"
"295",136,"leale","6","7","Italian"
"296",136,"scrupolosa","4","5","Italian"
"297",136,"cattivo","6","1","Italian"
"298",136,"stronzo","6","1","Italian"
"299",136,"osceno","6","1","Italian"
"300",136,"indiscreta","4","4","Italian"
"301",136,"demone","6","4","Italian"
"302",136,"santo","4","6","Italian"
"303",136,"scortese","5","2","Italian"
"304",136,"paziente","2","7","Italian"
"305",136,"positivo","4","8","Italian"
"306",136,"cauta","1","6","Italian"
"307",136,"pigra","4","4","Italian"
"308",136,"bugiarda","5","2","Italian"
"309",136,"sleale","5","2","Italian"
"310",136,"saggia","4","7","Italian"
"311",136,"inaffidabile","5","2","Italian"
"312",136,"buono","7","8","Italian"
"313",3,"elegante","2","7","Italian"
"314",3,"cauta","6","5","Italian"
"315",3,"riservata","3","6","Italian"
"316",3,"demone","6","3","Italian"
"317",3,"paziente","2","7","Italian"
"318",3,"scortese","5","3","Italian"
"319",3,"tesoro","6","6","Italian"
"320",3,"santo","3","5","Italian"
"321",3,"bugiarda","5","3","Italian"
"322",3,"osceno","4","2","Italian"
"323",3,"sleale","3","2","Italian"
"324",3,"pigra","2","5","Italian"
"325",3,"affidabile","3","7","Italian"
"326",3,"leale","2","7","Italian"
"327",3,"cattivo","6","2","Italian"
"328",3,"crudele","7","2","Italian"
"329",3,"inaffidabile","3","2","Italian"
"330",3,"stronzo","7","3","Italian"
"331",3,"indiscreta","5","4","Italian"
"332",3,"buono","3","7","Italian"
"333",3,"gentile","3","6","Italian"
"334",3,"scrupolosa","7","6","Italian"
"335",3,"meschina","8","3","Italian"
"336",3,"saggia","2","6","Italian"
"337",3,"positivo","3","8","Italian"
"338",3,"negativo","7","2","Italian"
"339",113,"negativo","4","3","Italian"
"340",113,"tesoro","2","6","Italian"
"341",113,"stronzo","6","2","Italian"
"342",113,"paziente","2","8","Italian"
"343",113,"gentile","1","9","Italian"
"344",113,"crudele","6","2","Italian"
"345",113,"saggia","2","7","Italian"
"346",113,"osceno","3","2","Italian"
"347",113,"positivo","4","6","Italian"
"348",113,"elegante","4","5","Italian"
"349",113,"bugiarda","5","3","Italian"
"350",113,"buono","3","8","Italian"
"351",113,"cattivo","6","3","Italian"
"352",113,"cauta","2","5","Italian"
"353",113,"meschina","5","4","Italian"
"354",113,"leale","4","7","Italian"
"355",113,"indiscreta","5","5","Italian"
"356",113,"pigra","2","4","Italian"
"357",113,"inaffidabile","6","2","Italian"
"358",113,"scortese","6","2","Italian"
"359",113,"scrupolosa","6","6","Italian"
"360",113,"riservata","1","5","Italian"
"361",113,"affidabile","2","6","Italian"
"362",113,"sleale","5","2","Italian"
"363",113,"santo","5","5","Italian"
"364",113,"demone","6","5","Italian"
"365",245,"riservata","3","6","Italian"
"366",245,"cauta","2","6","Italian"
"367",245,"meschina","6","2","Italian"
"368",245,"cattivo","6","2","Italian"
"369",245,"elegante","4","7","Italian"
"370",245,"scrupolosa","3","7","Italian"
"371",245,"scortese","6","2","Italian"
"372",245,"bugiarda","6","2","Italian"
"373",245,"saggia","3","8","Italian"
"374",245,"inaffidabile","6","2","Italian"
"375",245,"tesoro","5","9","Italian"
"376",245,"stronzo","7","1","Italian"
"377",245,"sleale","6","2","Italian"
"378",245,"demone","7","2","Italian"
"379",245,"pigra","4","3","Italian"
"380",245,"positivo","4","8","Italian"
"381",245,"negativo","5","2","Italian"
"382",245,"leale","3","8","Italian"
"383",245,"affidabile","3","8","Italian"
"384",245,"indiscreta","6","2","Italian"
"385",245,"crudele","7","1","Italian"
"386",245,"buono","3","8","Italian"
"387",245,"gentile","3","9","Italian"
"388",245,"osceno","7","2","Italian"
"389",245,"santo","3","8","Italian"
"390",245,"paziente","2","8","Italian"
"391",178,"inaffidabile","4","2","Italian"
"392",178,"demone","7","2","Italian"
"393",178,"positivo","3","8","Italian"
"394",178,"indiscreta","6","2","Italian"
"395",178,"elegante","3","7","Italian"
"396",178,"leale","2","8","Italian"
"397",178,"bugiarda","7","2","Italian"
"398",178,"riservata","3","6","Italian"
"399",178,"affidabile","2","8","Italian"
"400",178,"saggia","3","7","Italian"
"401",178,"cauta","1","7","Italian"
"402",178,"scrupolosa","2","7","Italian"
"403",178,"stronzo","8","1","Italian"
"404",178,"sleale","7","3","Italian"
"405",178,"gentile","1","8","Italian"
"406",178,"negativo","6","3","Italian"
"407",178,"buono","2","7","Italian"
"408",178,"paziente","2","7","Italian"
"409",178,"scortese","8","1","Italian"
"410",178,"meschina","7","2","Italian"
"411",178,"tesoro","2","8","Italian"
"412",178,"pigra","6","3","Italian"
"413",178,"osceno","8","2","Italian"
"414",178,"santo","3","7","Italian"
"415",178,"cattivo","8","2","Italian"
"416",178,"crudele","8","1","Italian"
"417",238,"riservata","2","5","Italian"
"418",238,"tesoro","4","9","Italian"
"419",238,"scrupolosa","3","3","Italian"
"420",238,"saggia","2","9","Italian"
"421",238,"osceno","1","1","Italian"
"422",238,"sleale","5","1","Italian"
"423",238,"santo","3","6","Italian"
"424",238,"stronzo","5","1","Italian"
"425",238,"indiscreta","5","1","Italian"
"426",238,"inaffidabile","5","1","Italian"
"427",238,"cauta","3","6","Italian"
"428",238,"buono","3","7","Italian"
"429",238,"negativo","5","1","Italian"
"430",238,"scortese","5","1","Italian"
"431",238,"crudele","5","1","Italian"
"432",238,"cattivo","5","1","Italian"
"433",238,"elegante","7","8","Italian"
"434",238,"leale","3","9","Italian"
"435",238,"pigra","3","3","Italian"
"436",238,"bugiarda","3","1","Italian"
"437",238,"meschina","3","1","Italian"
"438",238,"positivo","1","9","Italian"
"439",238,"gentile","1","9","Italian"
"440",238,"affidabile","1","9","Italian"
"441",238,"demone","2","1","Italian"
"442",238,"paziente","5","7","Italian"
"443",205,"riservata","1","8","Italian"
"444",205,"osceno","1","1","Italian"
"445",205,"meschina","1","1","Italian"
"446",205,"cauta","1","9","Italian"
"447",205,"scortese","1","1","Italian"
"448",205,"negativo","1","1","Italian"
"449",205,"sleale","1","1","Italian"
"450",205,"cattivo","1","1","Italian"
"451",205,"pigra","1","1","Italian"
"452",205,"saggia","1","9","Italian"
"453",205,"santo","1","8","Italian"
"454",205,"stronzo","1","1","Italian"
"455",205,"scrupolosa","1","9","Italian"
"456",205,"positivo","1","9","Italian"
"457",205,"paziente","1","9","Italian"
"458",205,"affidabile","1","9","Italian"
"459",205,"elegante","1","9","Italian"
"460",205,"indiscreta","1","1","Italian"
"461",205,"inaffidabile","1","1","Italian"
"462",205,"demone","1","1","Italian"
"463",205,"gentile","1","9","Italian"
"464",205,"leale","1","9","Italian"
"465",205,"crudele","1","1","Italian"
"466",205,"tesoro","1","9","Italian"
"467",205,"bugiarda","1","1","Italian"
"468",205,"buono","1","9","Italian"
"469",43,"pigra","1","3","Italian"
"470",43,"riservata","1","5","Italian"
"471",43,"sleale","6","1","Italian"
"472",43,"cattivo","5","1","Italian"
"473",43,"demone","8","3","Italian"
"474",43,"osceno","9","4","Italian"
"475",43,"leale","3","8","Italian"
"476",43,"crudele","6","1","Italian"
"477",43,"cauta","2","5","Italian"
"478",43,"scrupolosa","5","5","Italian"
"479",43,"meschina","7","3","Italian"
"480",43,"santo","3","6","Italian"
"481",43,"paziente","1","7","Italian"
"482",43,"scortese","9","2","Italian"
"483",43,"positivo","6","9","Italian"
"484",43,"buono","5","9","Italian"
"485",43,"affidabile","7","9","Italian"
"486",43,"elegante","7","7","Italian"
"487",43,"gentile","7","9","Italian"
"488",43,"negativo","5","1","Italian"
"489",43,"saggia","1","9","Italian"
"490",43,"inaffidabile","5","1","Italian"
"491",43,"bugiarda","1","3","Italian"
"492",43,"indiscreta","8","5","Italian"
"493",43,"tesoro","5","7","Italian"
"494",43,"stronzo","9","1","Italian"
"495",146,"affidabile","1","9","Italian"
"496",146,"buono","1","9","Italian"
"497",146,"indiscreta","7","3","Italian"
"498",146,"positivo","9","9","Italian"
"499",146,"inaffidabile","8","1","Italian"
"500",146,"saggia","1","9","Italian"
"501",146,"riservata","1","9","Italian"
"502",146,"scrupolosa","6","5","Italian"
"503",146,"osceno","9","1","Italian"
"504",146,"leale","1","9","Italian"
"505",146,"paziente","1","9","Italian"
"506",146,"sleale","8","1","Italian"
"507",146,"meschina","8","2","Italian"
"508",146,"crudele","5","1","Italian"
"509",146,"scortese","5","3","Italian"
"510",146,"cattivo","1","1","Italian"
"511",146,"negativo","1","1","Italian"
"512",146,"cauta","4","7","Italian"
"513",146,"gentile","1","9","Italian"
"514",146,"bugiarda","9","1","Italian"
"515",146,"elegante","1","9","Italian"
"516",146,"pigra","1","5","Italian"
"517",146,"tesoro","1","9","Italian"
"518",146,"santo","1","9","Italian"
"519",146,"demone","9","1","Italian"
"520",146,"stronzo","1","1","Italian"
"521",77,"crudele","7","7","Italian"
"522",77,"buono","1","9","Italian"
